발생년도,경찰서,소계,살인,강도,절도,폭력
2020,서울중부서,1944,1,3,943,997
2020,서울종로서,1579,9,4,602,964
2020,서울남대문서,1281,1,2,699,579
2020,서울서대문서,2374,3,2,1077,1292
2020,서울혜화서,1331,0,3,581,747
2020,서울용산서,2739,5,6,1111,1617
2020,서울성북서,1113,0,2,439,672
2020,서울동대문서,3240,10,6,1440,1784
2020,서울마포서,3340,9,4,1483,1844
2020,서울영등포서,4902,7,6,2188,2701
2020,서울성동서,2247,5,3,1016,1223
2020,서울동작서,2974,1,1,1341,1631
2020,서울광진서,3346,2,4,1664,1676
2020,서울서부서,1286,3,3,532,748
2020,서울강북서,2611,9,5,780,1817
2020,서울금천서,2481,4,7,999,1471
2020,서울중랑서,3543,10,5,1506,2022
2020,서울강남서,4241,5,12,1941,2283
2020,서울관악서,4858,12,3,2229,2614
2020,서울강서서,4150,10,6,1689,2445
2020,서울강동서,3600,3,15,1640,1942
2020,서울종암서,1312,4,1,549,758
2020,서울구로서,3978,6,5,1763,2204
2020,서울서초서,3432,4,5,1673,1750
2020,서울양천서,3107,5,3,1517,1582
2020,서울송파서,5123,6,13,2429,2675
2020,서울노원서,3574,4,3,1404,2163
2020,서울방배서,773,1,1,348,423
2020,서울은평서,1933,1,1,839,1092
2020,서울도봉서,2097,0,2,861,1234
2020,서울수서서,2407,1,2,1010,1394
2020,부산중부서,1331,1,0,686,644
2020,부산동래서,2350,5,2,1018,1325
2020,부산영도서,981,0,0,366,615
2020,부산동부서,1379,2,0,571,806
2020,부산진서,5494,3,9,2316,3166
2020,부산서부서,1041,1,1,458,581
2020,부산남부서,3309,7,4,1346,1952
2020,부산해운대서,3061,3,0,1336,1722
2020,부산사상서,2401,7,6,968,1420
2020,부산금정서,1926,2,2,943,979
2020,부산사하서,2487,6,0,1034,1447
2020,부산연제서,2783,5,7,1136,1635
2020,부산강서서,965,3,3,443,516
2020,부산북부서,2474,5,4,1030,1435
2020,부산기장서,1329,1,1,517,810
2020,대구중부서,2351,0,3,1214,1134
2020,대구동부서,2924,10,10,1210,1694
2020,대구서부서,2337,1,5,743,1588
2020,대구남부서,1616,2,4,677,933
2020,대구북부서,1852,2,4,767,1079
2020,대구수성서,2429,1,0,1011,1417
2020,대구달서서,2023,3,2,847,1171
2020,대구성서서,2421,3,4,1022,1392
2020,대구달성서,1301,3,1,522,775
2020,대구강북서,1750,3,0,659,1088
2020,인천중부서,2336,6,4,824,1502
2020,인천미추홀서,4139,12,8,1352,2767
2020,인천남동서,3120,1,7,1039,2073
2020,인천부평서,2792,5,8,984,1795
2020,인천서부서,4234,5,4,1342,2883
2020,인천계양서,2497,1,5,757,1734
2020,인천강화서,430,0,1,130,299
2020,인천연수서,2403,2,5,865,1531
2020,인천삼산서,3308,2,2,1146,2158
2020,인천논현서,1591,2,1,544,1044
2020,광주동부서,1404,0,6,634,764
2020,광주서부서,2905,2,5,1219,1679
2020,광주북부서,3368,1,5,1320,2042
2020,광주광산서,3141,4,5,1151,1981
2020,광주남부서,1521,3,3,615,900
2020,대전중부서,2638,2,3,1028,1605
2020,대전동부서,2396,1,4,1036,1355
2020,대전서부서,2218,6,2,777,1433
2020,대전대덕서,1764,0,1,637,1126
2020,대전둔산서,2340,5,2,857,1476
2020,대전유성서,2197,4,2,923,1268
2020,울산남부서,2986,4,5,1002,1975
2020,울산중부서,2479,4,3,906,1566
2020,울산울주서,1441,2,1,583,855
2020,울산동부서,1603,2,5,568,1028
2020,울산북부서,123,0,0,42,81
2020,세종서,1760,8,2,876,874
2020,경기수원중부서,3400,5,6,1318,2071
2020,경기수원남부서,5293,8,1,2202,3082
2020,경기수원서부서,3241,2,2,1360,1877
2020,경기안양동안서,1956,1,2,790,1163
2020,경기안양만안서,2633,3,3,1032,1595
2020,경기군포서,1719,3,3,711,1002
2020,경기성남수정서,2479,7,2,1068,1402
2020,경기성남중원서,2217,0,6,824,1387
2020,경기분당서,2597,5,7,1128,1457
